Test Cases Name,Test Cases ,Requirements,Core Business Functions,Allied Atomic Functions,Enabling Operations,Technical Functions,Encapsulated Functions,Dependency,Verdict
test case addition failed in tester's log test suite,T1,R10,10,0,0,0,0,3,1
add bugs in tester's log test suite,T2,R10,10,0,0,0,0,3,1
add personal projects in tester's portfolio,T3,R9,10,0,0,0,0,3,1
add requirement button on client project initiation page,T4,R6,10,0,0,0,0,3,1
add skills in tester's portfolio,T5,R9,10,0,0,0,0,3,0
add testing experience in tester's portfolio,T6,R9,10,0,0,0,0,3,1
admin can delete clients,T7,R12,0,0,0,0,2,3,1
admin can delete testers,T8,R12,0,0,0,0,2,3,1
admin dashboard progress button,T9,R14,0,0,0,6,0,3,1
admin download project artifacts from project details,T10,R5,0,0,0,6,0,3,0
admin failed profile updation,T11,R13,0,0,0,0,1,3,1
admin sign in failed upon invalid credentials,T12,R2,0,7,0,0,0,2,1
admin signout,T13,R3,0,8,0,0,0,3,1
admin successful profile updation,T14,R13,0,0,0,0,2,3,1
back button of client sign in page,T15,R14,0,0,0,5,0,2,1
back button of tester sign in page,T16,R14,0,0,0,5,0,2,1
back to main page button of admin sign in,T17,R14,0,0,0,5,0,2,1
back to main page button on client registration page,T18,R14,0,0,0,5,0,2,1
back to main page button on tester registration page,T19,R14,0,0,0,5,0,2,1
buy button functionality,T20,R14,0,0,0,5,0,1,1
checking client and admin contact without selecting appropriate file,T21,R6,10,0,0,0,0,3,0
clickable projects on admin dashboard to check their description,T22,R5,0,0,0,6,0,3,1
clickable projects on client dashboard to check their description,T23,R5,0,0,0,6,0,3,1
clickable projects on tester's dashboard to check their description,T24,R5,0,0,0,6,0,3,1
client can delete action from test suite,T25,R11,0,0,4,0,0,3,0
client can delete bug actions,T26,R11,0,0,4,0,0,3,1
client can download proof for test case status,T27,R11,0,0,4,0,0,3,0
client dashboard progress button,T28,R14,0,0,0,6,0,3,1
client download project artifacts from project details,T29,R5,0,0,0,5,0,3,0
client failed login upon invalid credentials,T30,R2,0,7,0,0,0,2,1
client failed project initiation,T31,R8,0,0,0,6,0,3,1
client failed registration upon invalid credentials,T32,R1,9,0,0,0,0,2,1
client profile updation failed due to invalid credentials,T33,R13,0,0,0,0,2,3,1
client profile updation with valid credentials,T34,R13,0,0,0,0,2,3,1
client successful contact to admin by filling all necessary fields,T35,R6,10,0,0,0,0,3,0
client successful login upon valid credentials,T36,R2,0,7,0,0,0,2,1
client successful project initiation,T37,R8,0,0,0,6,0,3,1
client successful registration upon valid credentials,T38,R1,9,0,0,0,0,2,1
client successful signout,T39,R3,0,8,0,0,0,3,0
contact us button,T40,R14,0,0,0,5,0,1,1
create an account button of client login page,T41,R14,0,0,0,5,0,2,1
create an account button of tester login page,T42,R14,0,0,0,5,0,2,1
download proof from tester's test case traceability,T43,R11,0,0,4,0,0,3,0
file uploading on client project initiation page,T44,R6,10,0,0,0,0,3,1
get started button,T45,R14,0,0,0,5,0,1,1
login button on client registration page,T46,R14,0,0,0,5,0,2,1
login button on tester registration page,T47,R14,0,0,0,5,0,2,1
navigate to about ,T48,R16,0,7,0,0,0,1,1
navigate to admin dashboard,T49,R16,0,8,0,0,0,3,1
navigate to admin manage artifacts,T50,R16,0,8,0,0,0,3,1
navigate to admin profile,T51,R16,0,8,0,0,0,3,1
navigate to admin progress report,T52,R16,0,8,0,0,0,3,1
navigate to admin project request,T53,R16,0,8,0,0,0,3,1
