Test Cases Name,Test Cases,Requirements,Core Business Functions,Allied Atomic Functions,Technical Functions,Enabling Operations,Encapsulated Functions,Release3/ Fault Count,Verdict
test case addition failed in tester's log test suite,T1,R10,10,0,0,0,0,0,1
add bugs in tester's log test suite,T2,R10,10,0,0,0,0,0,1
add personal projects in tester's portfolio,T3,R9,10,0,0,0,0,0,1
add requirement button on client project initiation page,T4,R6,10,0,0,0,0,0,1
add skills in tester's portfolio,T5,R9,10,0,0,0,0,0,1
add testing experience in tester's portfolio,T6,R9,10,0,0,0,0,0,1
admin can accept client project,T7,R7,10,0,0,0,0,0,1
admin can accept tester request,T8,R7,10,0,0,0,0,0,1
admin can delete clients,T9,R12,0,0,0,0,2,0,1
admin can delete testers,T10,R12,0,0,0,0,2,0,1
admin can download submitted report,T11,R11,0,0,0,4,0,0,1
admin can reject client project,T12,R7,10,0,0,0,0,0,1
admin can reject tester request,T13,R7,10,0,0,0,0,0,1
admin dashboard progress button,T14,R14,0,0,6,0,0,0,1
admin download project artifacts from project details,T15,R5,0,0,6,0,0,1,0
admin failed profile updation,T16,R13,0,0,0,0,1,0,1
admin sign in failed upon invalid credentials,T17,R2,0,7,0,0,0,0,1
admin signout,T18,R3,0,8,0,0,0,0,1
admin successful profile updation,T19,R13,0,0,0,0,2,0,1
admin successful sign in upon valid credentials,T20,R2,0,7,0,0,0,0,1
back button of client sign in page,T21,R14,0,0,5,0,0,0,1
back button of tester sign in page,T22,R14,0,0,5,0,0,0,1
back to main page button of admin sign in,T23,R14,0,0,5,0,0,0,1
back to main page button on client registration page,T24,R14,0,0,5,0,0,0,1
back to main page button on tester registration page,T25,R14,0,0,5,0,0,0,1
buy button functionality,T26,R14,0,0,5,0,0,0,1
checking client and admin contact without selecting appropriate file,T27,R6,10,0,0,0,0,0,1
clickable projects on admin dashboard to check their description,T28,R5,0,0,6,0,0,0,1
clickable projects on client dashboard to check their description,T29,R5,0,0,6,0,0,0,1
clickable projects on tester's dashboard to check their description,T30,R5,0,0,6,0,0,0,1
client can delete action from test suite,T31,R11,0,0,0,4,0,0,1
client can delete bug actions,T32,R11,0,0,0,4,0,0,1
client can download proof for test case status,T33,R11,0,0,0,4,0,1,0
client dashboard progress button,T34,R14,0,0,6,0,0,0,1
